nid|state|city|name|url|error
2|MD|Annapolis|The Capital|http://www.hometownannapolis.com/|
3|MD|Baltimore|Baltimore Business Journal|http://www.bizjournals.com/baltimore/|
4|MD|Baltimore|Baltimore Chronicle|http://baltimorechronicle.com/|
5|MD|Baltimore|Baltimore City Paper|http://citypaper.com/|
6|MD|Baltimore|Baltimore Sun|http://www.baltimoresun.com/|
7|MD|Baltimore|Baltimore Times|http://baltimoretimes-online.com/|
8|MD|Baltimore|East Baltimore Guide|http://baltimoreguide.com/|
9|MD|Baltimore|The Daily Record|http://thedailyrecord.com/|
10|MD|Baltimore|The Examiner|http://www.examiner.com/baltimore|
11|MD|Bel Air|The Aegis|http://www.baltimoresun.com/explore/harford/publications/the-aegis/|
12|MD|Bethesda|Bethesda Gazette|http://www.gazette.net/bethesda/news/|Bad url?
13|MD|Bowie|Bowie News|http://www.gazette.net/bowie/news/|Bad url?
14|MD|Cumberland|Cumberland Times-News|http://times-news.com/|
15|MD|Deale|Bay Weekly|http://bayweekly.com/|
16|MD|Dundalk|Dundalk Eagle|http://dundalkeagle.com/|
17|MD|Easton|The Star Democrat|http://www.stardem.com/|
18|MD|Elkton|Cecil Whig|http://www.cecilwhig.com/|
19|MD|Frederick|Frederick News-Post|http://www.fredericknewspost.com/|
20|MD|Gaithersburg|Gazette Newspapers|http://www.gazette.net/|
21|MD|Hagerstown|Picket News|http://www.picketnews.com/|
22|MD|Hagerstown|The Herald-Mail|http://www.herald-mail.com/|
23|MD|Laurel|Laurel Leader|http://www.baltimoresun.com/explore/howard/publications/laurel-leader/|
24|MD|Oakland|The Republican Newspaper|http://www.therepublicannews.com/|
25|MD|Ocean City|Maryland Coast Dispatch|http://www.mdcoastdispatch.com|
26|MD|Ocean City|Ocean City Today|http://www.oceancitytoday.net/|
27|MD|Pocomoke City|Worcester Co Times|http://www.delmarvanow.com/section/WCT/Worcester-County-Times|
28|MD|Princess Anne|Somerset Herald|http://www.delmarvanow.com/section/SH|
29|MD|Salisbury|The Daily Times|http://www.delmarvanow.com/|
30|MD|Seabrook|The Sentinel Newspapers|http://www.thesentinel.com/|
31|MD|Silver Spring|Silver Spring Voice|http://silverspringvoice.com/|
32|MD|Takoma Park|Takoma Voice|http://www.takoma.com/|
33|MD|Thurmont|The Catoctin Banner|http://www.thecatoctinbanner.com/|
34|MD|Westminster|Carroll County Times|http://carrollcountytimes.com/|
35|MD|Westminster|Community Times|http://www.carrollcountytimes.com/community_times/|
36|MI|Adrian|The Daily Telegram|http://www.lenconnect.com/|
37|MI|Allegan|The Allegan County News|http://www.allegannews.com/|
38|MI|Alpena|Alpena News|http://www.thealpenanews.com/|
39|MI|Ann Arbor|Ann Arbor News|http://www.mlive.com/ann-arbor/|
40|MI|Ann Arbor|AnnArbor.com|http://www.annarbor.com/|
